#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR11047625	SRR11047626	SRR11047627	SRR11047628	SRR11047629	SRR11047631	SRR11047632	SRR11047633	SRR11047634	SRR11047635	SRR11047636	SRR11047637	SRR11047639	SRR11047640	SRR11047641	SRR11047642	SRR11047643	SRR11047644	SRR11047645	SRR11047647	SRR11047648	SRR11047649	SRR11047650	SRR11047651	SRR11047653	SRR11047654	SRR11047655	SRR11047656	SRR11047657	SRR11047658	SRR11047659	SRR11047660	SRR11047661	SRR11047662	SRR11047663	SRR11047664	SRR11047665	SRR11047666	SRR11047667	SRR11047668	SRR11047669	SRR11047670	SRR11047671	SRR11047672
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.056217	0.006319	0.0	0.009315	0.009514	0.0	0.013917	0.000424	0.0	0.006218	0.007832	0.0	0.013037	0.01011	0.0	0.0	0.003143	0.047868	0.026397	0.003803	0.0	0.032314	0.016803	0.0	0.0	0.030708	0.0	0.043927	0.019644	0.0	0.03635	0.0	0.048603	0.008393	0.0	0.000187	0.009425	0.007173	0.0	0.0	0.005439	0.0	0.0065	0.002131
k__Bacteria|p__Firmicutes|c__CFGB93792	0.052233	0.0	0.022457	0.0	0.0	0.150986	0.0	0.0	0.0	0.0	0.01522	0.017395	0.0	0.251074	0.0	0.0	0.0	0.0	0.147473	0.040248	0.0	0.0	0.070666	0.0	0.0	0.0	0.0	0.100391	0.0	0.0	0.0	0.0	0.0	0.0	0.076803	0.098337	0.0	0.0	0.0	0.0	0.356494	0.0	0.0	0.003901
k__Bacteria|p__Firmicutes|c__CFGB3057	0.051998	0.0	0.023173	0.0	0.0	0.357116	0.005269	0.0	0.049366	0.0	0.00241	0.0	0.0	0.004024	0.0	0.0	0.029607	0.0	0.0	0.010671	0.0	0.0	0.138141	0.026911	0.317951	0.018831	0.03818	0.008374	0.0	0.032135	0.0	0.019295	0.0	0.015881	0.023306	0.000363	0.012679	0.240832	0.0	0.0	0.0	0.0	0.0	0.006175
k__Bacteria|p__Firmicutes|c__CFGB3038	0.031059	0.0	0.236121	0.068809	0.13959	0.272855	0.271791	0.0	0.547664	0.046803	0.224785	0.211731	0.029809	0.530569	0.0	0.01418	0.036899	0.42333	0.682633	0.037889	0.0	0.067084	0.06728	0.018551	0.317193	0.01445	0.029896	0.064298	0.003871	0.252222	0.02987	1.138076	0.0	0.277388	0.181464	0.047099	0.060227	0.0	0.002002	0.00061	0.064064	0.178453	0.0	0.062095
k__Bacteria|p__Firmicutes|c__CFGB1011	0.021931	0.0	0.028982	0.034787	0.039149	0.043081	0.007494	0.007858	0.127042	0.015722	0.023849	0.007616	0.011882	0.068362	0.0	0.017255	0.013066	0.0	0.065132	0.011965	0.0	0.011206	0.024316	0.0	0.245561	0.07048	0.024837	0.028057	0.0	0.007014	0.089392	0.0	0.0	0.031063	0.007207	0.021832	0.0	0.08953	0.0	0.003504	0.05548	0.219927	0.0	0.008507
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.019302	0.019117	0.033614	0.031794	0.013845	0.019023	0.035686	1.392171	0.042991	0.022803	0.0	4.451463	0.013777	0.008113	0.009669	0.995785	0.011839	0.0	0.0	0.021719	0.006328	0.0	0.017375	0.024472	0.123682	0.019702	0.0	0.002894	0.03231	0.009086	0.033066	0.057836	0.045411	0.008084	0.005986	0.031874	1.577203	0.034466	0.262537	5.122536	0.0	0.012205	0.11397	0.009525
k__Bacteria|p__Firmicutes|c__CFGB1292	0.018719	0.0	0.058875	0.026542	0.014417	0.085439	0.0	0.0	0.082677	0.0	0.039087	0.026806	0.0	0.044667	0.020231	0.023853	0.0	0.00253	0.041593	0.002414	0.13224	0.0	0.003796	0.0	0.209452	0.0	0.004451	0.056073	0.004328	0.014711	0.0	0.0	0.0	0.014046	0.153669	0.001259	0.0	0.0	0.0	0.001273	0.027565	0.012165	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834	0.01211	0.0	0.0	0.0	0.351097	0.001536	0.514305	0.0	0.035578	0.14434	0.079072	0.225854	0.0	0.0	0.066393	0.0	0.208877	0.160236	0.006515	0.004095	0.0	0.0	0.040562	0.0	0.0	0.0	0.0	0.042249	0.0	0.0	0.059548	0.144128	0.0	0.159962	0.0	0.074904	0.0	0.0	0.0	0.0	0.017455	0.0	0.0	0.096273
k__Bacteria|p__Firmicutes|c__CFGB1765	0.011953	0.0	0.0	0.0	0.0	0.040774	0.327067	0.0	0.0	0.013568	0.846371	0.0	0.0	1.09413	2.421457	0.718742	3.069026	0.0	2.448164	0.0	1.253164	0.0	0.886829	0.0	0.0	0.0	0.0	1.369605	0.0	1.735518	0.0	0.0	0.0	0.902163	0.470968	2.959847	0.0	0.0	0.207689	0.0	0.568836	0.0	0.0	0.213227
k__Bacteria|p__Firmicutes|c__CFGB73178	0.004771	0.0	0.09296	0.0	0.0	0.064002	0.037715	0.0	0.052646	0.0	0.047463	0.022041	0.0	0.037625	0.0	0.0	0.023496	0.042771	0.0	0.008369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
