#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR2784728	ERR2784729	ERR2784730	ERR2784731	ERR2784741	ERR2784742	ERR2784743	ERR2784752	ERR2784753	ERR2784754	ERR2784755	ERR2784756	ERR2784757	ERR2784759	ERR2784760	ERR2784761	ERR2784762	ERR2784763	ERR2784780	ERR2784781	ERR2784782	ERR2784783	ERR2784796	ERR2784797	ERR2784798	ERR2784799	ERR2784800	ERR2784801	ERR2784802	ERR2784803	ERR2784804	ERR2784805	ERR2784806	ERR2784807	ERR2784808	ERR2784809	ERR2784810	ERR2784811	ERR2784816	ERR2784817	ERR2784818	ERR2784824	ERR2784826	ERR2784827
k__Bacteria|p__Bacteroidota|c__CFGB4405	0.152471	0.135865	0.125504	0.108691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93133	1.851768	1.868468	1.905031	0.331709	0.269001	0.0	0.039185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354	0.074043	0.093391	0.063204	0.075894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261495	0.2678	0.22778	0.261378	2.584451	2.426204	1.972429	2.182555	0.0	0.0	0.0	0.0	0.69037	0.639784	0.640081	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.03108	0.03824	0.042735	0.040417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012222	0.004813	0.011903	0.011724	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217	0.017885	0.022413	0.013562	0.026979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015091	0.010155	0.008531	0.00764	0.002249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB77385	0.001894	0.009628	0.002795	0.004142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	52.267277	52.704425	53.001885	53.74614	73.640993	71.478172	72.765471	45.961406	45.702159	45.004541	45.420595	53.690584	53.834552	53.655103	76.333952	77.005553	77.21625	77.882948	31.636034	31.695789	30.958111	31.250598	31.084856	31.376667	30.81845	29.956583	66.661395	66.63104	66.053283	66.570076	38.462732	38.615617	36.140021	36.604353	47.985542	48.174822	47.093284	47.459563	28.382765	29.408504	28.193631	49.959383	49.361896	49.480803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	16.324231	16.462538	16.287359	16.396305	8.676293	8.374659	8.422068	16.42812	16.69807	16.689991	16.754077	10.567866	10.646546	10.58301	4.930709	5.070639	4.87259	4.662667	12.496335	12.75718	12.520815	12.723834	5.604669	5.57426	5.625692	5.674381	4.554479	4.442942	4.370912	4.25972	6.494546	6.1756	5.377404	5.001086	37.306698	38.381331	38.176849	38.293221	10.373404	10.689045	10.396785	7.656247	7.501661	7.460453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	7.052845	6.702101	6.768075	6.710499	4.810244	4.795847	4.715168	18.63224	18.694073	18.141114	18.397569	16.642259	15.917236	15.985005	6.337411	5.976972	5.805309	5.851464	12.510549	12.342326	12.496503	11.898364	13.980514	13.228219	13.446585	13.308268	3.587475	3.402808	3.375985	3.296538	7.445279	7.224033	4.010048	4.678368	4.496471	4.313243	4.384655	4.401869	17.418344	16.931191	17.009818	11.151454	10.720686	10.710741
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2.913711	2.832009	2.861207	2.736628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.318823	2.267198	2.239123	2.198851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.401303	0.41516	0.394467	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629	2.857234	2.791469	2.781156	2.619532	0.0	0.0	0.0	0.261011	0.240298	0.235161	0.22413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011653	0.007446	0.010854	0.0	0.0	0.0	0.0	0.0	1.175209	1.089664	0.71829	0.751639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.407923	4.264544	4.22586
k__Bacteria|p__Bacteroidota|c__CFGB11479|o__OFGB11479	1.837591	1.848027	1.792972	1.875767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
