taxon	ERR2784756	ERR2784762	ERR2784782	ERR2784818	ERR2784799	ERR2784811	ERR2784807	ERR2784826	ERR2784808	ERR2784760	ERR2784757	ERR2784731	ERR2784817	ERR2784753	ERR2784796	ERR2784783	ERR2784781	ERR2784805	ERR2784806	ERR2784803	ERR2784797	ERR2784741	ERR2784730	ERR2784759	ERR2784809	ERR2784800	ERR2784754	ERR2784742	ERR2784827	ERR2784810	ERR2784728	ERR2784802	ERR2784801	ERR2784755	ERR2784804	ERR2784763	ERR2784761	ERR2784816	ERR2784752	ERR2784780	ERR2784824	ERR2784743	ERR2784729	ERR2784798
Anaerocolumna sp. AGMB13025	94.0	25.0	177.0	132.0	111.0	300.0	13.0	157.0	340.0	32.0	97.0	101.0	131.0	162.0	139.0	166.0	205.0	27.0	15.0	31.0	128.0	38.0	133.0	46.0	322.0	52.0	151.0	32.0	162.0	272.0	154.0	33.0	43.0	115.0	32.0	33.0	29.0	171.0	155.0	200.0	216.0	27.0	140.0	140.0
Clostridium cadaveris	42.0	21.0	130.0	105.0	110.0	103.0	16.0	486.0	109.0	22.0	40.0	92.0	126.0	268.0	159.0	108.0	119.0	54.0	16.0	51.0	162.0	22.0	89.0	49.0	117.0	54.0	269.0	17.0	380.0	107.0	99.0	47.0	58.0	276.0	45.0	18.0	8.0	83.0	296.0	107.0	525.0	15.0	100.0	120.0
Anaerocolumna chitinilytica	100.0	16.0	116.0	93.0	88.0	294.0	11.0	164.0	354.0	27.0	92.0	140.0	146.0	158.0	145.0	107.0	140.0	25.0	9.0	28.0	147.0	41.0	149.0	73.0	337.0	32.0	127.0	35.0	163.0	292.0	195.0	25.0	48.0	119.0	27.0	23.0	22.0	149.0	151.0	159.0	217.0	62.0	178.0	114.0
Selenomonas sputigena	43.0	24.0	137.0	156.0	244.0	53.0	12.0	61.0	77.0	38.0	54.0	34.0	159.0	150.0	412.0	148.0	189.0	37.0	13.0	272.0	326.0	21.0	45.0	50.0	56.0	262.0	117.0	10.0	60.0	75.0	50.0	252.0	282.0	128.0	50.0	18.0	29.0	190.0	141.0	196.0	62.0	21.0	46.0	313.0
[Eubacterium] hominis	151.0	54.0	191.0	129.0	112.0	36.0	23.0	331.0	66.0	87.0	168.0	84.0	126.0	85.0	160.0	189.0	231.0	75.0	17.0	53.0	140.0	81.0	89.0	141.0	66.0	86.0	69.0	53.0	295.0	58.0	96.0	62.0	66.0	57.0	76.0	66.0	73.0	168.0	67.0	236.0	356.0	85.0	94.0	150.0
Buchavirus intestinalis	0.0	0.0	544.0	0.0	0.0	634.0	0.0	0.0	715.0	0.0	1.0	0.0	0.0	10.0	0.0	505.0	638.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	717.0	0.0	3.0	0.0	0.0	707.0	0.0	0.0	0.0	12.0	0.0	1.0	3.0	0.0	19.0	554.0	1.0	0.0	0.0	0.0
Lacrimispora sp. BS-2	93.0	32.0	105.0	110.0	131.0	211.0	3.0	152.0	211.0	58.0	103.0	215.0	156.0	156.0	173.0	86.0	112.0	30.0	11.0	41.0	148.0	61.0	227.0	86.0	210.0	44.0	124.0	67.0	132.0	176.0	251.0	36.0	30.0	97.0	25.0	38.0	37.0	154.0	150.0	119.0	217.0	64.0	221.0	143.0
Buchnera aphidicola	42.0	50.0	230.0	331.0	194.0	49.0	58.0	93.0	74.0	76.0	46.0	60.0	363.0	39.0	230.0	218.0	240.0	161.0	67.0	39.0	211.0	16.0	65.0	55.0	56.0	59.0	29.0	16.0	92.0	55.0	88.0	55.0	48.0	26.0	205.0	50.0	68.0	409.0	32.0	305.0	115.0	13.0	73.0	205.0
Streptococcus thermophilus	575.0	41.0	48.0	130.0	101.0	237.0	7.0	43.0	308.0	41.0	546.0	21.0	145.0	117.0	93.0	42.0	38.0	11.0	4.0	28.0	120.0	87.0	20.0	490.0	269.0	34.0	120.0	79.0	46.0	281.0	30.0	38.0	47.0	113.0	17.0	30.0	34.0	140.0	137.0	34.0	52.0	84.0	28.0	98.0
Anaerocolumna sp. AGMB13020	107.0	27.0	139.0	137.0	84.0	301.0	10.0	118.0	364.0	32.0	92.0	116.0	142.0	131.0	115.0	141.0	178.0	27.0	11.0	23.0	107.0	48.0	140.0	90.0	349.0	37.0	96.0	37.0	99.0	272.0	150.0	25.0	43.0	134.0	24.0	27.0	25.0	167.0	180.0	183.0	142.0	38.0	145.0	99.0
