	ERR2784728_merged	ERR2784729_merged	ERR2784730_merged	ERR2784731_merged	ERR2784741_merged	ERR2784742_merged	ERR2784743_merged	ERR2784752_merged	ERR2784753_merged	ERR2784754_merged	ERR2784755_merged	ERR2784756_merged	ERR2784757_merged	ERR2784759_merged	ERR2784760_merged	ERR2784761_merged	ERR2784762_merged	ERR2784763_merged	ERR2784780_merged	ERR2784781_merged	ERR2784782_merged	ERR2784783_merged	ERR2784796_merged	ERR2784797_merged	ERR2784798_merged	ERR2784799_merged	ERR2784800_merged	ERR2784801_merged	ERR2784802_merged	ERR2784803_merged	ERR2784804_merged	ERR2784805_merged	ERR2784806_merged	ERR2784807_merged	ERR2784808_merged	ERR2784809_merged	ERR2784810_merged	ERR2784811_merged	ERR2784816_merged	ERR2784817_merged	ERR2784818_merged	ERR2784824_merged	ERR2784826_merged	ERR2784827_merged	SRR11047625_merged	SRR11047626_merged	SRR11047627_merged	SRR11047628_merged	SRR11047629_merged	SRR11047631_merged	SRR11047632_merged	SRR11047633_merged	SRR11047634_merged	SRR11047635_merged	SRR11047636_merged	SRR11047637_merged	SRR11047639_merged	SRR11047640_merged	SRR11047641_merged	SRR11047642_merged	SRR11047643_merged	SRR11047644_merged	SRR11047645_merged	SRR11047647_merged	SRR11047648_merged	SRR11047649_merged	SRR11047650_merged	SRR11047651_merged	SRR11047653_merged	SRR11047654_merged	SRR11047655_merged	SRR11047656_merged	SRR11047657_merged	SRR11047658_merged	SRR11047659_merged	SRR11047660_merged	SRR11047661_merged	SRR11047662_merged	SRR11047663_merged	SRR11047664_merged	SRR11047665_merged	SRR11047666_merged	SRR11047668_merged	SRR11047669_merged	SRR11047670_merged	SRR11047671_merged	SRR11047672_merged	SRR11047673_merged
disease_3349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8904109589041096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4794520547945205	0.2876712328767123	0.0	0.3013698630136986	0.0	0.0	0.0	0.0	0.0	0.3287671232876712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4246575342465753	0.0	0.0547945205479452	0.1095890410958904	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.273972602739726	0.0	1.0	0.0	0.3835616438356164	1.0	0.0	1.0	0.4383561643835616	0.3561643835616438	0.0	1.0	0.0	0.9452054794520548	1.0	1.0	1.0	0.0	0.0	0.0	0.1643835616438356	1.0	0.0	0.7671232876712328	1.0	0.9863013698630136	0.684931506849315	0.3287671232876712	1.0	1.0	0.0	0.863013698630137	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
disease_3350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.265625	0.265625	0.0	0.0	0.671875	0.0	0.0	0.0	0.046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.234375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.0	1.0	0.4375	0.0	0.0	0.640625	0.0	1.0	0.53125	0.0	1.0	1.0	0.203125	0.0	1.0	0.828125	1.0	0.0	0.0	1.0	0.796875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.75	0.90625	0.0	0.03125	0.125	1.0	0.0	0.0	1.0	1.0	0.0	1.0
disease_3351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.2631578947368421	1.0	0.0	0.0	0.0	1.0	0.8947368421052632	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
disease_3352	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0178571428571428	0.2142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3392857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.9821428571428572	0.9642857142857144	0.0	0.25	0.0	0.0	0.8571428571428571	1.0	0.0	0.8214285714285714	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.1964285714285714	0.0	0.2142857142857142	1.0	0.7142857142857143	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.6607142857142857	1.0	0.875	1.0
disease_3353	0.0	0.0	0.0526315789473684	0.0	0.0	0.0	0.0	0.2894736842105263	0.0	0.0	0.0	0.0526315789473684	0.0526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	0.0	0.0	1.0	1.0	0.4473684210526316	0.631578947368421	1.0	0.5789473684210527	1.0	0.5789473684210527	0.9736842105263158	1.0	0.0	0.0	1.0	1.0	1.0	0.4736842105263157	0.5526315789473685	1.0	0.0	1.0	1.0	0.5263157894736842	0.6052631578947368	1.0	0.2631578947368421	1.0	1.0	0.0	1.0	1.0	0.5789473684210527	1.0	0.4210526315789473	1.0	1.0	0.0	0.0	0.1052631578947368	1.0	1.0	1.0
disease_3354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5142857142857142	1.0	0.9428571428571428	0.0	1.0	0.9142857142857144	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.9	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.1857142857142857	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
disease_3355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5641025641025641	0.0	0.0	0.0	0.0	0.0512820512820512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3974358974358974	0.0	0.0	0.0	0.0256410256410256	0.3205128205128205	0.0	1.0	1.0	0.0	0.3974358974358974	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.8846153846153846	0.6923076923076923	0.782051282051282	0.0	0.0	1.0	0.0	1.0	1.0	0.5512820512820513	1.0	1.0	0.9230769230769232	1.0	1.0	0.8717948717948718	0.0	0.0	0.0	0.2307692307692307	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
disease_3356	0.0	0.6046511627906976	0.0	0.0	0.2790697674418604	0.0	0.0	0.0	0.0	0.0	0.0	0.2790697674418604	0.0	0.0	0.0	0.0232558139534883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.2093023255813953	1.0	1.0	1.0	1.0	0.2790697674418604	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
disease_3357	0.3888888888888889	0.0	0.0	0.0	0.0	0.0	0.1944444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.3333333333333333	1.0	1.0	0.8888888888888888	1.0	0.8055555555555556	0.2222222222222222	1.0	0.0	1.0	1.0	0.25	1.0	1.0	1.0	1.0	0.6388888888888888	0.0	1.0	1.0	0.1944444444444444	0.0	0.2222222222222222	0.1388888888888889	0.1388888888888889	0.5555555555555556	0.3055555555555556	0.3888888888888889	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.1944444444444444	0.7777777777777778	1.0	0.1388888888888889
disease_3358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1904761904761904	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
disease_3359	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1372549019607843	0.392156862745098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5490196078431373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5490196078431373	0.0	0.0	1.0	1.0	1.0	0.0	0.4117647058823529	0.0	0.392156862745098	0.4901960784313725	0.7647058823529411	1.0	1.0	0.0	0.8431372549019608	0.392156862745098	0.5686274509803921	0.392156862745098	0.5882352941176471	1.0	0.0	0.392156862745098	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.9803921568627452	0.3725490196078431	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.392156862745098	1.0	0.7254901960784313	1.0
disease_3360	0.0	0.4666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222222222222	0.0444444444444444	0.1777777777777777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1555555555555555	0.3555555555555555	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.4666666666666667	1.0	0.0	1.0	1.0	0.0444444444444444	1.0	1.0	0.0	1.0	1.0	0.0	0.9111111111111112	0.0	0.1777777777777777	1.0	1.0	1.0	0.0	0.2	1.0	0.0	1.0	0.0	0.0	1.0	0.3333333333333333	0.4666666666666667	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	0.8666666666666667	0.8888888888888888	1.0	0.0	0.0	0.0	1.0	0.6222222222222222	1.0	0.0
disease_3361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2771084337349397	0.5903614457831325	0.3493975903614458	0.5301204819277109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0602409638554216	0.0240963855421686	0.0	0.0	0.0	0.0602409638554216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1686746987951807	0.0	0.0	0.0	0.0	0.0	0.1927710843373494	0.0481927710843373	0.0	1.0	0.0602409638554216	0.0	0.5421686746987951	0.5903614457831325	0.6265060240963856	1.0	0.4698795180722891	0.0	1.0	0.927710843373494	0.0963855421686747	0.0	1.0	1.0	0.9518072289156626	0.0	0.0	0.3132530120481928	1.0	1.0	0.5662650602409639	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.9397590361445785	1.0	1.0	0.0	0.0	1.0	1.0	0.072289156626506	1.0
disease_3362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4833333333333333	0.0	0.2333333333333333	0.0	1.0	0.95	0.0	0.0	0.4833333333333333	0.0	1.0	0.0	0.0	0.3666666666666666	0.0	0.0	0.75	1.0	1.0	0.0	0.4166666666666667	0.0	1.0	1.0	1.0	0.0	0.55	0.4166666666666667	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.6833333333333333	0.9833333333333332	0.0	0.0	0.7333333333333333	0.0	0.0	0.0
disease_3363	0.032258064516129	0.0	0.0	0.0	0.0	0.0	0.0	0.032258064516129	0.032258064516129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2580645161290322	0.0	0.0	0.0	0.3870967741935484	0.6129032258064516	0.1290322580645161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.4193548387096774	0.0	0.4193548387096774	1.0	0.0	0.6129032258064516	0.032258064516129	1.0	0.0967741935483871	1.0	0.0	0.4838709677419355	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.6129032258064516	0.0	1.0	1.0	0.4193548387096774	1.0	1.0	0.0	0.935483870967742	1.0	1.0	0.0	0.2258064516129032	0.8064516129032258	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
